Feature Map,Entanglement,Bandwidth,Noisy Backend,Qubits,CNOT Count,Target Alignment,Spectral Variance,Condition Number,Test F1,Test AUC
ZZ,linear,0.5,False,8,28,0.04278019028109391,0.0005397825643389896,49.181496625829446,0.6446886446886447,0.644974020142408
ZZ,linear,0.5,True,8,28,0.04278019028109391,0.0005397825643389896,49.181496625829446,0.6446886446886447,0.644974020142408
ZZ,linear,1.0,False,8,28,0.04443674468294458,0.00019833773874562404,16.889515688707295,0.5917602996254682,0.6009365578292385
ZZ,linear,1.0,True,8,28,0.04443674468294458,0.00019833773874562404,16.889515688707295,0.5917602996254682,0.6009365578292385
ZZ,linear,2.0,False,8,28,0.04425965158309862,0.00018668112570398843,16.257411084914786,0.6227106227106227,0.6183206106870229
ZZ,linear,2.0,True,8,28,0.04425965158309862,0.00018668112570398843,16.257411084914786,0.6227106227106227,0.6183206106870229
ZZ,full,0.5,False,8,112,0.040617296152443874,0.00029689716380011465,36.7609309114731,0.5931558935361216,0.6046571300275835
ZZ,full,0.5,True,8,112,0.040617296152443874,0.00029689716380011465,36.7609309114731,0.5931558935361216,0.6046571300275835
ZZ,full,1.0,False,8,112,0.04490579697437732,9.941920293953957e-05,10.885006212017734,0.6480836236933798,0.6385913143883508
ZZ,full,1.0,True,8,112,0.04490579697437732,9.941920293953957e-05,10.885006212017734,0.6480836236933798,0.6385913143883508
ZZ,full,2.0,False,8,112,0.04470290675405605,5.211855010732383e-05,6.385146619570587,0.676056338028169,0.6531528641991148
ZZ,full,2.0,True,8,112,0.04470290675405605,5.211855010732383e-05,6.385146619570587,0.676056338028169,0.6531528641991148
CPMap,linear,0.5,False,5,48,0.003041968910065016,0.022364025260427564,58040237059.4483,0.6953405017921147,0.6882417088972994
CPMap,linear,0.5,True,5,48,0.003041968910065016,0.022364025260427564,58040237059.4483,0.6953405017921147,0.6882417088972994
CPMap,linear,1.0,False,5,48,0.0112908509119301,0.03524117728898405,23494631.33540101,0.6102941176470589,0.6413496696388479
CPMap,linear,1.0,True,5,48,0.0112908509119301,0.03524117728898405,23494631.33540101,0.6102941176470589,0.6413496696388479
CPMap,linear,2.0,False,5,48,0.025284992086735836,0.006605382195151587,23663.604159914496,0.6416382252559727,0.6224581435627686
CPMap,linear,2.0,True,5,48,0.025284992086735836,0.006605382195151587,23663.604159914496,0.6416382252559727,0.6224581435627686
