N_Samples,Classical_RBF_F1,Classical_RBF_ROC_AUC,Classical_RBF_Accuracy,Classical_Target_F1_N500,Quantum-ZZ (Linear)_F1,Quantum-ZZ (Linear)_Accuracy,Quantum-ZZ (Linear)_ROC_AUC,Quantum-ZZ (Linear)_Alignment,Quantum-ZZ (Linear)_Condition_Number,Quantum-ZZ (Linear)_Reached_Target,Quantum-ZZ (Full)_F1,Quantum-ZZ (Full)_Accuracy,Quantum-ZZ (Full)_ROC_AUC,Quantum-ZZ (Full)_Alignment,Quantum-ZZ (Full)_Condition_Number,Quantum-ZZ (Full)_Reached_Target,Quantum-CPMap_F1,Quantum-CPMap_Accuracy,Quantum-CPMap_ROC_AUC,Quantum-CPMap_Alignment,Quantum-CPMap_Condition_Number,Quantum-CPMap_Reached_Target
10,0.8036282369408921,0.6558904109589041,0.7837837837837838,0.9611084868524641,0.6394740301859547,0.5945945945945946,0.4582648401826484,0.31219950977802885,1.158584114493347,False,0.658931235381485,0.6441441441441441,0.2742770167427702,0.3114117667726812,1.1666466099613895,False,0.8096345266325118,0.795045045045045,0.3140943683409437,0.15554787778839,75.47715439799846,False
20,0.7956094134176327,0.9172298325722984,0.8018018018018017,0.9611084868524641,0.5429461504227859,0.6463963963963965,0.4274277016742771,0.23570395091721308,2.6305637890394955,False,0.6915966386554623,0.7229729729729729,0.46840182648401835,0.23001925240157473,1.6507395847183906,False,0.8379958239131943,0.8220720720720721,0.9116894977168949,0.11094557521865928,396.6962318242157,False
30,0.8475003424188468,0.9224353120243531,0.8468468468468467,0.9611084868524641,0.6183912014203985,0.6711711711711712,0.39372907153729075,0.1850441915685479,1.8081794386548597,False,0.7051857591397911,0.7207207207207208,0.21156773211567734,0.18708911160631306,1.912150886752075,False,0.8911993080060306,0.8851351351351352,0.9646879756468798,0.08713420361887862,2836.6026285108996,False
40,0.8658713639981378,0.9564079147640792,0.8648648648648649,0.9611084868524641,0.6552481127476325,0.6734234234234234,0.41823439878234403,0.16035233647276484,1.7608998745105826,False,0.7384451297494775,0.7477477477477478,0.3623744292237443,0.16243981391419612,1.9667714871174458,False,0.9201618837380426,0.9189189189189189,0.9768036529680365,0.09150831851836681,2310.364815990683,False
50,0.8927886284435465,0.9708371385083714,0.8918918918918918,0.9611084868524641,0.675342008675342,0.7162162162162162,0.5895890410958904,0.1511271879925543,2.9245114413682525,False,0.7644851759876499,0.7725225225225225,0.8594216133942161,0.14670105907683537,2.2416355749989814,False,0.9177895876196048,0.9144144144144145,0.9788736681887368,0.08202273062840532,7162.033624542383,False
60,0.8795342588446037,0.9632876712328766,0.8806306306306307,0.9611084868524641,0.6717834631071561,0.7184684684684685,0.7506240487062406,0.13784046251821758,2.907321838587837,False,0.7652420865186823,0.7815315315315315,0.873302891933029,0.13311908482995158,2.6248310095845047,False,0.8921185191028026,0.8873873873873874,0.9699238964992389,0.09346051672575795,9647.578881303934,False
70,0.8961861861861862,0.9676103500761034,0.8963963963963965,0.9611084868524641,0.6713932275945337,0.7094594594594595,0.7530289193302891,0.12644337896211444,2.5035866625650836,False,0.7602039074907291,0.7815315315315315,0.8797260273972602,0.12747732330609485,2.8821684378295713,False,0.9114035087719299,0.9099099099099099,0.9751598173515982,0.07914241282243341,26112.59027484272,False
80,0.9122091858510369,0.9792998477929985,0.9144144144144145,0.9611084868524641,0.6812164230527658,0.7184684684684686,0.7987214611872148,0.1261475346962432,5.746653737880141,False,0.7841541307796471,0.795045045045045,0.8826179604261796,0.12229464315951426,2.9546961701888654,False,0.9234234234234234,0.9234234234234234,0.9809436834094368,0.07730175824685541,58171.655885377,False
90,0.893731759928943,0.9665144596651446,0.8963963963963965,0.9611084868524641,0.7167548500881834,0.7387387387387389,0.6028614916286149,0.11576458954733675,3.424908198754463,False,0.7776619665588514,0.795045045045045,0.8930898021308981,0.11753129378318526,4.161238439620999,False,0.9155998103366524,0.9144144144144145,0.9827701674277017,0.06787494286923713,76013.82248954945,False
100,0.8965844984056904,0.9684018264840182,0.8986486486486487,0.9611084868524641,0.7506242486025082,0.7747747747747749,0.833668188736682,0.10947238802868929,2.899642979542188,False,0.8018199233716475,0.8108108108108109,0.8893759512937596,0.11159782129561137,3.6294725833895014,False,0.93424891324051,0.9324324324324325,0.9864535768645357,0.07465423051732067,83142.79000462766,False
110,0.9197024398211192,0.9766210045662099,0.918918918918919,0.9611084868524641,0.7361252689651524,0.759009009009009,0.8345205479452055,0.10905219023012358,6.961011249079771,False,0.8233702296098796,0.8355855855855855,0.9011872146118721,0.10854600575702318,4.093445223206384,False,0.9120420147455598,0.9099099099099099,0.9824048706240488,0.07613602087749986,115300.2527123488,False
120,0.9117280258125328,0.9799086757990869,0.9144144144144145,0.9611084868524641,0.6992096073460902,0.7342342342342342,0.8103196347031963,0.10597838903379442,4.677650436506546,False,0.8262993496178974,0.8423423423423424,0.9116590563165906,0.10476767902605126,4.1560776799440475,False,0.9380426784400294,0.936936936936937,0.9868493150684933,0.09045806738391565,201617.24263335703,False
130,0.9140566741237882,0.972054794520548,0.9144144144144145,0.9611084868524641,0.7369251940758991,0.7702702702702703,0.8479756468797565,0.10466587978198294,9.179925430117985,False,0.8200827921461395,0.8378378378378378,0.9204261796042618,0.1008729274167589,4.837474697098133,False,0.9536408349792804,0.9527027027027027,0.9938508371385084,0.07857801849357308,211143.73436922822,False
140,0.9187710437710437,0.98337899543379,0.9211711711711712,0.9611084868524641,0.7319194957089694,0.7657657657657658,0.8489497716894977,0.09896493409560293,6.648338349079474,False,0.8260536341876302,0.8423423423423423,0.9180517503805175,0.09812331501284936,4.776126076135792,False,0.9391407734264877,0.9391891891891891,0.9880060882800609,0.08014954203968654,325144.3826584226,False
150,0.9114738729925816,0.9826179604261798,0.9144144144144145,0.9611084868524641,0.7481174423284488,0.7747747747747749,0.8421917808219179,0.09623331072106743,12.880319373046058,False,0.8154828793969656,0.8288288288288288,0.9181735159817351,0.0946882842903065,6.026074190515752,False,0.9333609888834565,0.9324324324324325,0.9869710806697108,0.08157605780580812,386909.46198785875,False
160,0.9149394671005441,0.9801522070015221,0.9166666666666666,0.9611084868524641,0.7234620548053384,0.7522522522522523,0.8219482496194827,0.09724706181738889,24.362573231167723,False,0.8257279890373415,0.8378378378378378,0.9032572298325724,0.09453330719369353,6.613370769327521,False,0.9334334569233897,0.9346846846846847,0.9849619482496195,0.07900421245130959,562811.5948408884,False
170,0.9261688854588718,0.9844748858447488,0.9279279279279279,0.9611084868524641,0.7804874684945299,0.7882882882882883,0.850289193302892,0.09455976009789983,9.606979229663661,False,0.8364838785018008,0.8513513513513513,0.920517503805175,0.0926122171044102,6.034667565815385,False,0.9452603288219726,0.9459459459459459,0.9918417047184169,0.07620797527627625,1253083.3012274941,False
180,0.9361021939873414,0.9854490106544901,0.9369369369369368,0.9611084868524641,0.7580058429931203,0.7815315315315315,0.8388432267884323,0.08881013992116117,7.588176504910699,False,0.7992790633076016,0.8153153153153153,0.9007610350076103,0.08883447861090887,6.682200377844117,False,0.9438075664154678,0.9436936936936937,0.9898934550989344,0.07138727021127621,785789.7926425632,False
