N_Samples,Classical_RBF_F1,Classical_RBF_ROC_AUC,Classical_RBF_Accuracy,Classical_Target_F1_N500,Quantum-ZZ (Linear)_F1,Quantum-ZZ (Linear)_Accuracy,Quantum-ZZ (Linear)_ROC_AUC,Quantum-ZZ (Linear)_Alignment,Quantum-ZZ (Linear)_Condition_Number,Quantum-ZZ (Linear)_Reached_Target,Quantum-ZZ (Full)_F1,Quantum-ZZ (Full)_Accuracy,Quantum-ZZ (Full)_ROC_AUC,Quantum-ZZ (Full)_Alignment,Quantum-ZZ (Full)_Condition_Number,Quantum-ZZ (Full)_Reached_Target,Quantum-CPMap_F1,Quantum-CPMap_Accuracy,Quantum-CPMap_ROC_AUC,Quantum-CPMap_Alignment,Quantum-CPMap_Condition_Number,Quantum-CPMap_Reached_Target
10,0.9206232364127099,0.9936197916666667,0.9270833333333334,1.0,0.6855152019197978,0.6395833333333333,0.29205729166666666,0.32842172171193557,1.1154859818142708,False,0.6003042676440393,0.6479166666666666,0.2409114583333333,0.3111092796545972,1.243095557795476,False,0.7518321376224639,0.7958333333333334,0.06854166666666667,0.16938818567106848,49.90842785180033,False
20,1.0,1.0,1.0,1.0,0.6723246146488614,0.6666666666666666,0.37572916666666667,0.22721598038885737,1.2230570656679294,False,0.7850618020397307,0.7729166666666667,0.3392447916666667,0.2295725277171022,1.450275920772271,False,0.9673660325014168,0.96875,0.9979166666666668,0.11099533376900232,613.6071626081392,False
30,1.0,1.0,1.0,1.0,0.7660918741018866,0.7374999999999999,0.16533854166666664,0.19119142431173974,1.6659699343906171,False,0.8217975576564962,0.8020833333333334,0.0909375,0.19048383383110634,1.8840223572423285,False,0.9742465691832781,0.9750000000000001,0.9992708333333334,0.12284688715294735,1973.3611768827427,False
40,1.0,1.0,1.0,1.0,0.7869887183923664,0.7604166666666666,0.8468489583333335,0.16793803253026715,1.726090547197359,False,0.872453630100689,0.8583333333333334,0.9305729166666667,0.1710206824361368,2.071112772261671,False,0.9830141728875906,0.9833333333333334,0.9998958333333333,0.105557106203143,3191.720132540898,False
50,1.0,1.0,1.0,1.0,0.8020013012945637,0.7895833333333333,0.8766666666666666,0.15393313345238205,2.320094103917329,False,0.9054558820427999,0.9020833333333332,0.96640625,0.15111424168138637,2.0857333008724055,False,0.9936841546585994,0.99375,1.0,0.09916346875821776,5353.792992204298,False
60,1.0,1.0,1.0,1.0,0.814184583864579,0.7854166666666668,0.88,0.14401412596247817,7.9426119487718205,False,0.9109566368752069,0.9104166666666668,0.9736979166666666,0.14285596332665929,2.5862566597263053,False,0.9914529914529915,0.9916666666666667,1.0,0.10105024948713175,13024.197094817866,False
70,1.0,1.0,1.0,1.0,0.8564078062405822,0.8458333333333333,0.913203125,0.1315128977794931,1.9848896470263837,False,0.9132750547751716,0.9083333333333332,0.9733854166666668,0.13290226308244912,2.6945262041487292,False,0.9979035639412999,0.9979166666666667,1.0,0.09533722382779154,14677.245702224332,False
80,1.0,1.0,1.0,1.0,0.8492258179106701,0.8354166666666667,0.9291406249999999,0.12434671332758306,2.7423852252078538,False,0.9424517713825891,0.9416666666666668,0.9830729166666666,0.12833742190298295,3.061189097395887,False,0.9979035639412999,0.9979166666666667,1.0,0.08659337117914813,36184.58754948304,False
90,1.0,1.0,1.0,1.0,0.8729748996856729,0.8666666666666667,0.9395833333333333,0.12176441503230433,4.0891748973747,False,0.9367132477803702,0.9333333333333332,0.978515625,0.12220368943881904,3.4409217547281656,False,0.9979035639412999,0.9979166666666667,1.0,0.08448257294260657,41116.13989254204,False
100,1.0,1.0,1.0,1.0,0.8606483188376015,0.8479166666666668,0.9297916666666667,0.11811360379862508,3.1448786922158547,False,0.9351018442058905,0.93125,0.9834375,0.12018016547593689,3.4960825145785606,False,1.0,1.0,1.0,0.08943261165397302,71614.31573172861,True
110,1.0,1.0,1.0,1.0,0.8772385945707181,0.86875,0.9441145833333334,0.11605262866956757,3.355194494181076,False,0.9529844106068207,0.9520833333333334,0.9917708333333334,0.1134223129192674,3.9461986113496876,False,1.0,1.0,1.0,0.09102082466946959,348077.26722711447,True
