N_Samples,Classical_RBF_F1,Classical_RBF_ROC_AUC,Classical_RBF_Accuracy,Classical_Target_F1_N500,Quantum-ZZ (Linear)_F1,Quantum-ZZ (Linear)_Accuracy,Quantum-ZZ (Linear)_ROC_AUC,Quantum-ZZ (Linear)_Alignment,Quantum-ZZ (Linear)_Condition_Number,Quantum-ZZ (Linear)_Reached_Target,Quantum-ZZ (Full)_F1,Quantum-ZZ (Full)_Accuracy,Quantum-ZZ (Full)_ROC_AUC,Quantum-ZZ (Full)_Alignment,Quantum-ZZ (Full)_Condition_Number,Quantum-ZZ (Full)_Reached_Target,Quantum-CPMap_F1,Quantum-CPMap_Accuracy,Quantum-CPMap_ROC_AUC,Quantum-CPMap_Alignment,Quantum-CPMap_Condition_Number,Quantum-CPMap_Reached_Target
10,0.5859880543899979,0.509493045202178,0.5093333333333333,0.5628986747114534,0.38665062230734754,0.5053333333333333,0.47453737101695553,0.31213258966437746,1.417746730596093,False,0.5758429737745178,0.5133333333333333,0.4866358757243355,0.31563520706092874,1.105551451696241,True,0.572692740251096,0.5313333333333333,0.5191544162832578,0.2312324238277473,22.99052387135971,True
20,0.61101867861402,0.4977102336790693,0.5193333333333333,0.5628986747114534,0.4896007746236681,0.5246666666666667,0.4748419607025869,0.2246996174728404,1.3938596359928586,False,0.5010585650545083,0.492,0.4927833728911411,0.2221934858803072,1.2329373733155706,False,0.6063502896501838,0.5493333333333333,0.5539764985010981,0.11785064585942955,107.79019168454114,True
30,0.5380172624432489,0.4855480209685952,0.51,0.5628986747114534,0.5134648243856134,0.5153333333333333,0.4819891309575339,0.18022213437860238,1.4655141026871323,False,0.4840434419381788,0.49733333333333335,0.47733444522847307,0.1836703814443811,1.375440742016951,False,0.5328896384577115,0.5293333333333333,0.5202552140944868,0.108523008593456,245.61932999060323,False
40,0.5637051815190942,0.5034814066699798,0.48866666666666664,0.5628986747114534,0.5355186913263732,0.5166666666666667,0.47611375623206525,0.15507133251177715,1.306784657178951,False,0.5550645793507489,0.532,0.4660444330403917,0.15538097022398997,1.5237525637738638,False,0.5207763605853631,0.5186666666666667,0.5099312268551915,0.05172507163183252,1498.763467491879,False
50,0.6095193139344516,0.4934486499195776,0.5266666666666667,0.5628986747114534,0.516225241129662,0.528,0.46154955994805946,0.14164642868478586,1.4944926921674881,False,0.5434790433313161,0.5093333333333333,0.4893835396754122,0.13956143041728966,1.6577603270130552,False,0.5998723615852001,0.5653333333333334,0.5255053784126068,0.05127098598288854,1023.6896328524925,True
60,0.6127022655983685,0.495425811036834,0.5166666666666667,0.5628986747114534,0.5151672275624706,0.5066666666666667,0.548916034776661,0.1275083728543531,1.761592163630435,False,0.5485661045583253,0.5093333333333333,0.5179827656253342,0.1279689969776687,1.803524939285978,False,0.5311210519468933,0.5546666666666668,0.542541026093183,0.043359170914589136,1116.3647268464467,False
70,0.5249394289504282,0.5192292277849918,0.5193333333333333,0.5628986747114534,0.5284255857404815,0.5333333333333333,0.4524091975397704,0.12052255618684989,1.8181730850040956,False,0.5480765051548184,0.5573333333333333,0.4287959458592597,0.1192030531101802,2.5919795905148955,False,0.5716646790648416,0.5193333333333333,0.49256427109550754,0.04871709217401212,1486.2050492870312,True
80,0.5889193160192957,0.47159567589519974,0.5193333333333333,0.5628986747114534,0.5662062398055673,0.5453333333333333,0.44684909985732374,0.11010398553494728,1.9323039184341138,True,0.5605256936635065,0.5373333333333333,0.5018068296020699,0.10988220420808874,2.0658090128238653,False,0.5425479535198106,0.5333333333333333,0.558956807045106,0.049916306037309933,33388.21765313623,False
90,0.5125915004131224,0.5001309201280345,0.49466666666666664,0.5628986747114534,0.525622470718908,0.5193333333333333,0.471023902274804,0.10363544664600814,2.341261825951049,False,0.521246429179044,0.5293333333333333,0.4915645647572005,0.10532610712416328,2.2572146675319367,False,0.5787517565722385,0.56,0.574119495342984,0.03265080771787817,9420.363469270767,True
100,0.626501092932214,0.5032756750402112,0.5133333333333333,0.5628986747114534,0.5358410458208359,0.526,0.4762874257896621,0.09828059059683818,3.979690411185264,False,0.47325612725921,0.492,0.5044261979601,0.09877646408919323,2.485688160642862,False,0.5563588159089746,0.5533333333333333,0.5746912689633797,0.03355758620476059,16642.763675578408,False
