N_Train_Samples,N_Test_Samples,Feature_Map,Qubits_Required,Total_Circuits_Evaluated,SQ_Gates_Per_Circuit,CNOT_Gates_Per_Circuit,Cumulative_SQ_Gates,Cumulative_CNOT_Gates,Total_Quantum_Operations
10,200,Quantum-ZZ,8,2045,16,28,32720,57260,89980
10,200,Quantum-CPMap,5,2045,84,48,171780,98160,269940
20,200,Quantum-ZZ,8,4190,16,28,67040,117320,184360
20,200,Quantum-CPMap,5,4190,84,48,351960,201120,553080
30,200,Quantum-ZZ,8,6435,16,28,102960,180180,283140
30,200,Quantum-CPMap,5,6435,84,48,540540,308880,849420
40,200,Quantum-ZZ,8,8780,16,28,140480,245840,386320
40,200,Quantum-CPMap,5,8780,84,48,737520,421440,1158960
50,200,Quantum-ZZ,8,11225,16,28,179600,314300,493900
50,200,Quantum-CPMap,5,11225,84,48,942900,538800,1481700
60,200,Quantum-ZZ,8,13770,16,28,220320,385560,605880
60,200,Quantum-CPMap,5,13770,84,48,1156680,660960,1817640
70,200,Quantum-ZZ,8,16415,16,28,262640,459620,722260
70,200,Quantum-CPMap,5,16415,84,48,1378860,787920,2166780
80,200,Quantum-ZZ,8,19160,16,28,306560,536480,843040
80,200,Quantum-CPMap,5,19160,84,48,1609440,919680,2529120
90,200,Quantum-ZZ,8,22005,16,28,352080,616140,968220
90,200,Quantum-CPMap,5,22005,84,48,1848420,1056240,2904660
100,200,Quantum-ZZ,8,24950,16,28,399200,698600,1097800
100,200,Quantum-CPMap,5,24950,84,48,2095800,1197600,3293400
110,200,Quantum-ZZ,8,27995,16,28,447920,783860,1231780
110,200,Quantum-CPMap,5,27995,84,48,2351580,1343760,3695340
120,200,Quantum-ZZ,8,31140,16,28,498240,871920,1370160
120,200,Quantum-CPMap,5,31140,84,48,2615760,1494720,4110480
130,200,Quantum-ZZ,8,34385,16,28,550160,962780,1512940
130,200,Quantum-CPMap,5,34385,84,48,2888340,1650480,4538820
140,200,Quantum-ZZ,8,37730,16,28,603680,1056440,1660120
140,200,Quantum-CPMap,5,37730,84,48,3169320,1811040,4980360
150,200,Quantum-ZZ,8,41175,16,28,658800,1152900,1811700
150,200,Quantum-CPMap,5,41175,84,48,3458700,1976400,5435100
160,200,Quantum-ZZ,8,44720,16,28,715520,1252160,1967680
160,200,Quantum-CPMap,5,44720,84,48,3756480,2146560,5903040
170,200,Quantum-ZZ,8,48365,16,28,773840,1354220,2128060
170,200,Quantum-CPMap,5,48365,84,48,4062660,2321520,6384180
