N_Train_Samples,N_Test_Samples,Train_Gram_Matrix_Circuits,Test_Gram_Matrix_Circuits,Total_Circuit_Evaluations
10,200,45,2000,2045
20,200,190,4000,4190
30,200,435,6000,6435
40,200,780,8000,8780
50,200,1225,10000,11225
60,200,1770,12000,13770
70,200,2415,14000,16415
80,200,3160,16000,19160
90,200,4005,18000,22005
100,200,4950,20000,24950
110,200,5995,22000,27995
120,200,7140,24000,31140
130,200,8385,26000,34385
140,200,9730,28000,37730
150,200,11175,30000,41175
160,200,12720,32000,44720
170,200,14365,34000,48365
180,200,16110,36000,52110
190,200,17955,38000,55955
200,200,19900,40000,59900
210,200,21945,42000,63945
220,200,24090,44000,68090
230,200,26335,46000,72335
240,200,28680,48000,76680
250,200,31125,50000,81125
260,200,33670,52000,85670
270,200,36315,54000,90315
280,200,39060,56000,95060
290,200,41905,58000,99905
300,200,44850,60000,104850
310,200,47895,62000,109895
320,200,51040,64000,115040
330,200,54285,66000,120285
340,200,57630,68000,125630
350,200,61075,70000,131075
360,200,64620,72000,136620
370,200,68265,74000,142265
380,200,72010,76000,148010
390,200,75855,78000,153855
400,200,79800,80000,159800
410,200,83845,82000,165845
420,200,87990,84000,171990
430,200,92235,86000,178235
440,200,96580,88000,184580
450,200,101025,90000,191025
460,200,105570,92000,197570
470,200,110215,94000,204215
480,200,114960,96000,210960
490,200,119805,98000,217805
500,200,124750,100000,224750
