N_Samples,Classical_RBF_F1,Classical_Converged_Target_F1,Quantum-ZZ_F1,Quantum-ZZ_Reached_Target,Quantum-CPMap_F1,Quantum-CPMap_Reached_Target
10,0.9681502654144548,1.0,0.5933359611089214,False,0.8016709710448787,False
20,0.9979035639412999,1.0,0.7332920792079207,False,0.9182339602507671,False
30,1.0,1.0,0.7969067969067969,False,0.9788743751007901,False
40,1.0,1.0,0.7976964363102977,False,0.9937368972746331,False
50,1.0,1.0,0.7763097438648349,False,0.9958071278825996,False
60,1.0,1.0,0.8450339823653167,False,0.9979035639412999,False
70,1.0,1.0,0.8355720882258842,False,0.9979035639412999,False
80,1.0,1.0,0.8454251731650423,False,0.9936305732484078,False
90,1.0,1.0,0.8728277991957883,False,0.9957805907172995,False
100,1.0,1.0,0.8377487612782756,False,1.0,True
110,1.0,1.0,0.8724501917659437,False,1.0,True
120,1.0,1.0,0.8792316870494384,False,1.0,True
130,1.0,1.0,0.8837197627720182,False,1.0,True
140,1.0,1.0,0.860995909429207,False,1.0,True
150,1.0,1.0,0.8958142897584219,False,1.0,True
160,1.0,1.0,0.8989070376766682,False,1.0,True
170,1.0,1.0,0.9125043598801913,False,1.0,True
180,1.0,1.0,0.9132046466074063,False,1.0,True
190,1.0,1.0,0.910499957558781,False,1.0,True
200,1.0,1.0,0.9086627091981844,False,1.0,True
210,1.0,1.0,0.9196787148594378,False,1.0,True
220,1.0,1.0,0.8949828726671392,False,1.0,True
230,1.0,1.0,0.9117471006359895,False,1.0,True
240,1.0,1.0,0.9234379399332512,False,1.0,True
250,1.0,1.0,0.9182050168937154,False,1.0,True
260,1.0,1.0,0.911737500608539,False,1.0,True
270,1.0,1.0,0.9281148685719987,False,1.0,True
280,1.0,1.0,0.9298231989852709,False,1.0,True
290,1.0,1.0,0.9265763749744663,False,1.0,True
300,1.0,1.0,0.9281433774263285,False,1.0,True
310,1.0,1.0,0.9132440806647918,False,1.0,True
320,1.0,1.0,0.9219047977516812,False,1.0,True
330,1.0,1.0,0.9300869120654397,False,1.0,True
340,1.0,1.0,0.9153384092820934,False,1.0,True
350,1.0,1.0,0.9176866907557965,False,1.0,True
360,1.0,1.0,0.9224400219462318,False,1.0,True
370,1.0,1.0,0.9227409351528469,False,1.0,True
380,1.0,1.0,0.9265015526774217,False,1.0,True
390,1.0,1.0,0.9269387356455199,False,1.0,True
400,1.0,1.0,0.9278594487530706,False,1.0,True
410,1.0,1.0,0.935838445807771,False,1.0,True
420,1.0,1.0,0.9339430894308943,False,1.0,True
430,1.0,1.0,0.9221118137107297,False,1.0,True
440,1.0,1.0,0.9372641509433963,False,1.0,True
450,1.0,1.0,0.9436320754716981,False,1.0,True
460,1.0,1.0,0.9397256728778468,False,1.0,True
470,1.0,1.0,0.9278429568284641,False,1.0,True
480,1.0,1.0,0.9336419753086419,False,1.0,True
490,1.0,1.0,0.9339430894308943,False,1.0,True
500,1.0,1.0,0.9355297383337215,False,1.0,True
