N_Train_Samples,Configuration,Pair_Circuits_Evaluated,CNOTs_Per_Circuit,Cumulative_CNOT_Operations,Cumulative_Total_Operations
10,Quantum-ZZ (Linear),2045,28,57260,89980
10,Quantum-ZZ (Full),2045,112,229040,261760
10,Quantum-CPMap,2045,48,98160,98160
20,Quantum-ZZ (Linear),4190,28,117320,184360
20,Quantum-ZZ (Full),4190,112,469280,536320
20,Quantum-CPMap,4190,48,201120,201120
30,Quantum-ZZ (Linear),6435,28,180180,283140
30,Quantum-ZZ (Full),6435,112,720720,823680
30,Quantum-CPMap,6435,48,308880,308880
40,Quantum-ZZ (Linear),8780,28,245840,386320
40,Quantum-ZZ (Full),8780,112,983360,1123840
40,Quantum-CPMap,8780,48,421440,421440
50,Quantum-ZZ (Linear),11225,28,314300,493900
50,Quantum-ZZ (Full),11225,112,1257200,1436800
50,Quantum-CPMap,11225,48,538800,538800
60,Quantum-ZZ (Linear),13770,28,385560,605880
60,Quantum-ZZ (Full),13770,112,1542240,1762560
60,Quantum-CPMap,13770,48,660960,660960
70,Quantum-ZZ (Linear),16415,28,459620,722260
70,Quantum-ZZ (Full),16415,112,1838480,2101120
70,Quantum-CPMap,16415,48,787920,787920
80,Quantum-ZZ (Linear),19160,28,536480,843040
80,Quantum-ZZ (Full),19160,112,2145920,2452480
80,Quantum-CPMap,19160,48,919680,919680
90,Quantum-ZZ (Linear),22005,28,616140,968220
90,Quantum-ZZ (Full),22005,112,2464560,2816640
90,Quantum-CPMap,22005,48,1056240,1056240
100,Quantum-ZZ (Linear),24950,28,698600,1097800
100,Quantum-ZZ (Full),24950,112,2794400,3193600
100,Quantum-CPMap,24950,48,1197600,1197600
110,Quantum-ZZ (Linear),27995,28,783860,1231780
110,Quantum-ZZ (Full),27995,112,3135440,3583360
110,Quantum-CPMap,27995,48,1343760,1343760
120,Quantum-ZZ (Linear),31140,28,871920,1370160
120,Quantum-ZZ (Full),31140,112,3487680,3985920
120,Quantum-CPMap,31140,48,1494720,1494720
130,Quantum-ZZ (Linear),34385,28,962780,1512940
130,Quantum-ZZ (Full),34385,112,3851120,4401280
130,Quantum-CPMap,34385,48,1650480,1650480
140,Quantum-ZZ (Linear),37730,28,1056440,1660120
140,Quantum-ZZ (Full),37730,112,4225760,4829440
140,Quantum-CPMap,37730,48,1811040,1811040
150,Quantum-ZZ (Linear),41175,28,1152900,1811700
150,Quantum-ZZ (Full),41175,112,4611600,5270400
150,Quantum-CPMap,41175,48,1976400,1976400
160,Quantum-ZZ (Linear),44720,28,1252160,1967680
160,Quantum-ZZ (Full),44720,112,5008640,5724160
160,Quantum-CPMap,44720,48,2146560,2146560
170,Quantum-ZZ (Linear),48365,28,1354220,2128060
170,Quantum-ZZ (Full),48365,112,5416880,6190720
170,Quantum-CPMap,48365,48,2321520,2321520
180,Quantum-ZZ (Linear),52110,28,1459080,2292840
180,Quantum-ZZ (Full),52110,112,5836320,6670080
180,Quantum-CPMap,52110,48,2501280,2501280
190,Quantum-ZZ (Linear),55955,28,1566740,2462020
190,Quantum-ZZ (Full),55955,112,6266960,7162240
190,Quantum-CPMap,55955,48,2685840,2685840
200,Quantum-ZZ (Linear),59900,28,1677200,2635600
200,Quantum-ZZ (Full),59900,112,6708800,7667200
200,Quantum-CPMap,59900,48,2875200,2875200
210,Quantum-ZZ (Linear),63945,28,1790460,2813580
210,Quantum-ZZ (Full),63945,112,7161840,8184960
210,Quantum-CPMap,63945,48,3069360,3069360
220,Quantum-ZZ (Linear),68090,28,1906520,2995960
220,Quantum-ZZ (Full),68090,112,7626080,8715520
220,Quantum-CPMap,68090,48,3268320,3268320
230,Quantum-ZZ (Linear),72335,28,2025380,3182740
230,Quantum-ZZ (Full),72335,112,8101520,9258880
230,Quantum-CPMap,72335,48,3472080,3472080
240,Quantum-ZZ (Linear),76680,28,2147040,3373920
240,Quantum-ZZ (Full),76680,112,8588160,9815040
240,Quantum-CPMap,76680,48,3680640,3680640
250,Quantum-ZZ (Linear),81125,28,2271500,3569500
250,Quantum-ZZ (Full),81125,112,9086000,10384000
250,Quantum-CPMap,81125,48,3894000,3894000
