=== ABLATION STUDY SUMMARY: Primary Synthetic (Shells) ===
 -> Cumulative Compute Footprint: CPU Years = 3.93e-02 | GPU Years = 1.64e-03

Feature Map Entanglement  Bandwidth  Noisy Backend  Qubits  CNOT Count  Target Alignment  Spectral Variance  Condition Number  Test F1  Test AUC
         ZZ       linear        0.5          False       8          28          0.189319           0.002717      1.261142e+03 0.837696  0.994062
         ZZ       linear        0.5           True       8          28          0.189319           0.002717      1.261142e+03 0.837696  0.994062
         ZZ       linear        1.0          False       8          28          0.083493           0.000422      8.191237e+01 0.723618  0.777188
         ZZ       linear        1.0           True       8          28          0.083493           0.000422      8.191237e+01 0.723618  0.777188
         ZZ       linear        2.0          False       8          28          0.072301           0.000371      4.140053e+01 0.717949  0.757812
         ZZ       linear        2.0           True       8          28          0.072301           0.000371      4.140053e+01 0.717949  0.757812
         ZZ         full        0.5          False       8         112          0.109822           0.000661      1.229430e+02 0.869565  0.999063
         ZZ         full        0.5           True       8         112          0.109822           0.000661      1.229430e+02 0.869565  0.999063
         ZZ         full        1.0          False       8         112          0.083789           0.000228      3.387463e+01 0.829016  0.998125
         ZZ         full        1.0           True       8         112          0.083789           0.000228      3.387463e+01 0.829016  0.998125
         ZZ         full        2.0          False       8         112          0.144277           0.000473      6.376322e+01 0.820513  0.993437
         ZZ         full        2.0           True       8         112          0.144277           0.000473      6.376322e+01 0.820513  0.993437
      CPMap       linear        0.5          False       5          42          0.006363           0.011562      3.676103e+12 0.952381  0.999688
      CPMap       linear        0.5           True       5          42          0.006363           0.011562      3.676103e+12 0.952381  0.999688
      CPMap       linear        1.0          False       5          42          0.080923           0.043229      1.455736e+09 0.935673  1.000000
      CPMap       linear        1.0           True       5          42          0.080923           0.043229      1.455736e+09 0.935673  1.000000
      CPMap       linear        2.0          False       5          42          0.298869           0.015171      5.867317e+05 0.868132  0.992031
      CPMap       linear        2.0           True       5          42          0.298869           0.015171      5.867317e+05 0.868132  0.992031
      CPMap         full        0.5          False       5          42          0.006363           0.011562      3.676103e+12 0.952381  0.999688
      CPMap         full        0.5           True       5          42          0.006363           0.011562      3.676103e+12 0.952381  0.999688
      CPMap         full        1.0          False       5          42          0.080923           0.043229      1.455736e+09 0.935673  1.000000
      CPMap         full        1.0           True       5          42          0.080923           0.043229      1.455736e+09 0.935673  1.000000
      CPMap         full        2.0          False       5          42          0.298869           0.015171      5.867317e+05 0.868132  0.992031
      CPMap         full        2.0           True       5          42          0.298869           0.015171      5.867317e+05 0.868132  0.992031
